Hotel Name,Contact Person,Reservation Email
Hotel Re! Pte Ltd,Kevin Ng,reservations@hotelre.com.sg
Hotel Royal @ Queens,George Lim,sales@royalqueens.com.sg
ibis budget Singapore Ametrine,Phua Zhia Cee,booking@gphl.com.sg
Jayleen 1918 Hotel,James Chong,rooms@jayleen1918.com.sg
Jayleen Clarke Quay Hotel,Sarah Gason / Michelle Yap,jayleenclarkequay@gmail.com
Ji Hotel Orchard Singapore,Guest Service Officer or Kenix,frontoffice.jhos@the-ascott.com
K2 guesthouse,Joyce Kay,Hello@k2guesthouse.com
Lex Hotel Lorong 8,Pang Chin Fatt,pangcf@harford.com.sg
lyf Funan Singapore,Ms. Norjihan Kamil,norjihan.kamil@the-ascott.com
M Social Hotel Singapore,Chung Ze Xiang ,reservations.mss@millenniumhotels.com
Mayo Inn,"Latifah, Jihao, Terrance",reservations@mayoinn.com
Naumi Hotel,Marina Chong (Reservations Manager),reservations@naumihotels.com
New Cathay Hotel,Desmond Loh,NEWCATHAYHOTELG@GMAIL.COM
New Orchid Hotel,Cheong Ah Seng,Neworchidhotel@hotmail.com
Oakwood Premier AMTD Singapore,Reservations Team,reservations.premier-singapore@oakwood.com
"Oasia Hotel Downtown, Singapore",Christine Lee,christinelcs@fareast.com.sg
One Farrer Hotel,Brian Ong,reservations@onefarrer.com
Orchard Hotel Singapore,Farah Vierra,Reservations.OHS@millenniumhotels.com
"Orchard Rendezvous Hotel, Singapore",Kelly Lim,kellylim@fareast.com.sg
Pan Pacific Serviced Suites Beach Road,Ng Jing Jing,reserve.ppssbr@panpacific.com
Park 22 hotel Little India,Guest Experience Team,reservations@park22hotel.com
"PARKROYAL COLLECTION Marina Bay, Singapore",Grace Loo,reserve.prsmb@parkroyalhotels.com
"PARKROYAL COLLECTION Pickering, Singapore",Mr Valent Tan,valent.tan@parkroyalhotels.com
Penta Hotel,Nancy Ng,booking@pentahotel.com.sg
Porcelain Hotel,Kelvin Chew,reservations@porcelainhotel.com
Q Loft Hotels@Mackenzie,Anthony/TK,reservations@qloft.com.sg
Q Loft Hotels@Bedok,Anthony/TK,reservations@qloft.com.sg
The Quay Hotel Lavender,Front Desk Team,info@thequaylavender.com
The Quay Hotel Singapore,Front Desk Team,info@thequayhotel.sg
The Quay Hotel West Coast,Front Desk Team,info@thequayhotelwc.com
RedDoorz near Marine Parade,Shiqi,reservations-singapore@reddoorz.com
RedDoorz @ Aljunied,Shiqi,reservations-singapore@reddoorz.com
RedDoorz Plus @ Little India,Shiqi,reservations-singapore@reddoorz.com
RedDoorz @ Geylang,Shiqi,reservations-singapore@reddoorz.com
RedDoorz Premium @ Balestier,Shiqi,reservations-singapore@reddoorz.com
RELC International Hotel,Ben,ben.tan@relc.org.sg
Rest Bugis Hotel,Skye Liu,skye.liu@homes4now.com
Sandpiper Hotel,Jasmin,reservations@sandpiperhotels.com
Shangri-La Hotel Singapore ,Kwee Poh Gek,Reservations.sls@shangri-la.com
Strand Hotel,Ivy Ong,ivy@strandhotel.com.sg
ST Signature Jalan Besar,Reservation Department,jalanbesar.ota@stsignature.com
ST Signature Bugis Beach,Reservation Department,bugis2.ota@stsignature.com
ST Signature Tanjong Pagar,Reservation Department,tanjongpagar.ota@stsignature.com
Tai Hoe Hotel,Larry Gay Peng Cheng,Reservation@taihoehotel.com
The Capitol Kempinski Hotel Singapore,Reservations Department,reservation.singapore@kempinski.com
The St Regis Singapore,Kenta Goto,Reservations.Singapore@stregis.com
"The Vagabond Club, a Tribute Portfolio Hotel",Reservations Team,reservations@hotelvagabondsingapore.com
Victoria Hotel,Alexis Hong,victoriahotel@victoriana.sg
Village Hotel Bugis,Dennis Yong,dennisyong@fareast.com.sg
XY Hotel Bugis,Han Bin,bugis_reservation@xyglobalhotel.com
